epoch,dense_train_loss,dense_train_character_accuracy,dense_val_loss,dense_val_character_accuracy,structured_train_loss,structured_train_character_accuracy,structured_val_loss,structured_val_character_accuracy,structured_immediate_post_prune_val_accuracy
1,0.8249379938857748,0.8004348114710568,0.466610399171388,0.8902220452056159,,,,,
2,0.4508449079046462,0.8928737387148168,0.40656991984447044,0.9032659563875336,,,,,
3,0.40586124266390466,0.9027704018410339,0.36985355542022536,0.9110325599920343,,,,,
4,0.38119768464875486,0.9085734200743495,0.3538010901193107,0.9146171462710345,,,,,
5,0.36480359907465965,0.912169189237033,0.3442350181761247,0.916957084536493,,,,,0.11072388728467589
6,0.3530063648248356,0.9146198442202159,0.33651665559057625,0.9179528029473265,0.6353441091644424,0.8486236502035759,0.4206761267630807,0.8991337249825749,
7,0.34371446078067164,0.9165615595680652,0.33033502314369195,0.9202429552922433,0.4225614205791499,0.8991137812002125,0.3831969765651562,0.907746689236284,
8,0.3367803917772729,0.9176458222694283,0.32611886896270925,0.9208403863387434,0.39376184777425105,0.9054146751637457,0.36401871152694726,0.9111819177536593,
9,0.3298020959322506,0.9193607275624004,0.3260782200965133,0.9210893159414517,0.37729386241694723,0.908905337227828,0.3524985133111922,0.9156626506024096,
10,0.32485639343094586,0.9200134979642415,0.32326189436060754,0.9223837498755352,0.3662195241826892,0.9112730129226412,0.3446290747857979,0.916060937966743,
