stage,epoch,cost_sensitive_ohem_loss,train_accuracy,validation_crop_loss_unweighted,validation_crop_accuracy,validation_plate_character_accuracy,validation_exact_plate_accuracy,epoch_seconds,selected_as_best
cost_sensitive_teacher,1,0.4648131095011438,0.9222373428925473,0.3270712622154712,0.923479040127452,0.923479040127452,0.8415169660678643,16.45916250004666,True
cost_sensitive_teacher,2,0.45751938391077895,0.9227186227650912,0.321810969102315,0.9244249726177437,0.9244249726177437,0.8435129740518962,17.184517599991523,True
cost_sensitive_teacher,3,0.45252385718102034,0.9230560718711276,0.3296003097392501,0.9232798964452853,0.9232798964452853,0.8383233532934131,16.9106961999787,False
cost_sensitive_teacher,4,0.44902212763491045,0.9229841564878739,0.3259528847100618,0.923777755650702,0.923777755650702,0.8419161676646707,16.933161500026472,False
cost_sensitive_teacher,5,0.4462447038349335,0.9232994777836785,0.32411682621174265,0.924823259982077,0.924823259982077,0.844311377245509,16.933044600009453,True
cost_sensitive_teacher,6,0.44307761436111,0.9237973535138962,0.32463306644980583,0.924225828935577,0.924225828935577,0.846307385229541,16.977395199995954,True
cost_sensitive_teacher,7,0.4396360488296885,0.9241348026199327,0.3231774929639745,0.9250721895847854,0.9250721895847854,0.8479041916167664,17.0357494999771,True
cost_sensitive_teacher,8,0.43633129111769603,0.9245275712515489,0.3280166340909322,0.9256198347107438,0.9256198347107438,0.8487025948103792,17.073183200031053,True
conv2_pruned_student,1,0.5252422479364297,0.911527482740308,0.341608883695252,0.9200935975306184,0.9200935975306184,0.8251497005988024,14.725809999974445,True
conv2_pruned_student,2,0.47787670897190326,0.9187522127810231,0.3373068455834082,0.9210893159414517,0.9210893159414517,0.833932135728543,15.152316200023051,True
conv2_pruned_student,3,0.46793248435420726,0.919670516905647,0.3359347658542883,0.9220850343522852,0.9220850343522852,0.8363273453093812,16.440803900011815,True
conv2_pruned_student,4,0.4628352868618174,0.9204007346432997,0.3343678285766263,0.9220850343522852,0.9220850343522852,0.8379241516966068,18.469301000004634,True
conv2_pruned_student,5,0.4592522524124459,0.9207879713223579,0.33053946830973996,0.9220352484317434,0.9220352484317434,0.8395209580838323,18.003317299997434,True
conv2_pruned_student,6,0.45522040959100085,0.9210866967604886,0.3304250108688865,0.9226824653987852,0.9226824653987852,0.8395209580838323,17.084962900029495,True
conv2_pruned_student,7,0.45189151427960644,0.9212747831474597,0.3300659321081611,0.9225828935577018,0.9225828935577018,0.8395209580838323,14.818882099993061,False
conv2_pruned_student,8,0.44876687173021224,0.9221930872720836,0.3273218259457204,0.923479040127452,0.923479040127452,0.8423153692614771,15.318853900011163,True
