batch_characters,iteration,model,latency_ns
1,126,structured_50,148100
1,127,structured_50,146400
1,127,dense,157900
1,128,dense,157500
1,128,structured_50,147400
1,129,structured_50,145100
1,129,dense,159800
1,130,dense,158300
1,130,structured_50,147000
1,131,structured_50,145500
1,131,dense,174300
1,132,dense,168200
1,132,structured_50,149400
1,133,structured_50,145400
1,133,dense,156500
1,134,dense,157500
1,134,structured_50,153500
1,135,structured_50,153200
1,135,dense,163000
1,136,dense,162600
1,136,structured_50,152800
1,137,structured_50,150000
1,137,dense,162000
1,138,dense,187500
1,138,structured_50,171000
1,139,structured_50,330200
1,139,dense,205300
1,140,dense,177100
1,140,structured_50,164700
1,141,structured_50,181800
1,141,dense,175100
1,142,dense,181700
1,142,structured_50,174000
1,143,structured_50,343800
1,143,dense,364600
1,144,dense,195900
1,144,structured_50,200700
1,145,structured_50,160900
1,145,dense,176700
1,146,dense,172100
1,146,structured_50,161700
1,147,structured_50,161700
1,147,dense,171800
1,148,dense,210600
1,148,structured_50,170500
1,149,structured_50,162900
1,149,dense,174100
1,150,dense,175500
1,150,structured_50,169000
1,151,structured_50,164900
1,151,dense,179200
1,152,dense,182800
1,152,structured_50,174200
1,153,structured_50,165300
1,153,dense,214400
1,154,dense,190300
1,154,structured_50,176600
1,155,structured_50,160600
1,155,dense,170300
1,156,dense,166900
1,156,structured_50,157900
1,157,structured_50,153300
1,157,dense,166100
1,158,dense,165000
1,158,structured_50,157900
1,159,structured_50,152100
1,159,dense,195400
1,160,dense,170800
1,160,structured_50,157000
1,161,structured_50,153800
1,161,dense,168700
1,162,dense,164900
1,162,structured_50,155100
1,163,structured_50,152600
1,163,dense,166900
1,164,dense,165000
1,164,structured_50,155700
1,165,structured_50,153000
1,165,dense,193000
1,166,dense,176200
1,166,structured_50,160500
1,167,structured_50,158300
1,167,dense,168900
1,168,dense,173400
1,168,structured_50,162700
1,169,structured_50,160900
1,169,dense,172000
1,170,dense,172000
1,170,structured_50,166000
1,171,structured_50,159200
1,171,dense,202500
1,172,dense,183700
1,172,structured_50,172100
1,173,structured_50,173600
1,173,dense,192400
1,174,dense,349800
1,174,structured_50,222800
1,175,structured_50,180300
1,175,dense,190600
1,176,dense,203800
1,176,structured_50,187200
1,177,structured_50,172700
1,177,dense,178500
1,178,dense,175500
1,178,structured_50,167500
1,179,structured_50,162300
1,179,dense,176600
1,180,dense,172700
1,180,structured_50,159900
1,181,structured_50,157000
1,181,dense,167500
1,182,dense,200200
1,182,structured_50,165800
1,183,structured_50,158100
1,183,dense,172800
1,184,dense,169400
1,184,structured_50,162900
1,185,structured_50,157500
1,185,dense,168700
1,186,dense,167900
1,186,structured_50,159100
1,187,structured_50,179200
1,187,dense,178500
1,188,dense,172700
1,188,structured_50,160800
1,189,structured_50,157300
1,189,dense,169400
1,190,dense,169300
1,190,structured_50,159800
1,191,structured_50,158000
1,191,dense,168600
1,192,dense,168600
1,192,structured_50,157800
1,193,structured_50,177300
1,193,dense,181000
1,194,dense,171600
1,194,structured_50,160400
1,195,structured_50,157800
1,195,dense,168300
1,196,dense,370100
1,196,structured_50,279600
1,197,structured_50,172200
1,197,dense,174500
1,198,dense,171700
1,198,structured_50,159800
1,199,structured_50,155400
1,199,dense,167200
1,200,dense,167000
1,200,structured_50,186000
1,201,structured_50,165900
1,201,dense,170400
1,202,dense,175300
1,202,structured_50,159600
1,203,structured_50,206700
1,203,dense,184500
1,204,dense,188100
1,204,structured_50,338300
1,205,structured_50,278000
1,205,dense,198400
1,206,dense,185100
1,206,structured_50,165700
1,207,structured_50,193700
1,207,dense,180800
1,208,dense,175000
1,208,structured_50,164300
1,209,structured_50,160100
1,209,dense,170800
1,210,dense,168400
1,210,structured_50,158600
1,211,structured_50,155300
1,211,dense,168700
1,212,dense,167900
1,212,structured_50,157400
1,213,structured_50,183500
1,213,dense,174500
1,214,dense,170600
1,214,structured_50,159700
1,215,structured_50,157500
1,215,dense,168400
1,216,dense,254900
1,216,structured_50,165800
1,217,structured_50,160300
1,217,dense,169700
1,218,dense,168700
1,218,structured_50,180800
1,219,structured_50,167400
1,219,dense,172200
1,220,dense,169900
1,220,structured_50,158300
