epoch,train_loss,train_character_accuracy,validation_loss,validation_character_accuracy
1,2.163059310888342,0.4641184660169599,1.130176980805387,0.7324358435002104
2,0.7690149787716768,0.8485001898493861,0.49360652655977433,0.9158603281447202
3,0.397727757454703,0.9231742817364891,0.33881568517512417,0.9385780395456458
4,0.28351445067775294,0.9457030755600557,0.29219373831189277,0.941943626419857
5,0.23289435316966828,0.9524110872041514,0.2547992495964894,0.9507782919646613
6,0.20209738826234194,0.9578534362738894,0.23882724950932432,0.950357593605385
7,0.18095382736304366,0.9616504239969624,0.22439520881614317,0.9533024821203198
8,0.16739798128159797,0.9646880141754208,0.2175005095116371,0.9554059739167017
9,0.15496242845824906,0.9675990380964435,0.21003757638493956,0.9579301640723601
10,0.14653608158990833,0.9688647006708012,0.20584823190539034,0.9579301640723601
11,0.13511123361108182,0.9734210859384888,0.19994103427087753,0.9600336558687421
12,0.12777822175677434,0.9743070497405392,0.19526572627684224,0.9608750525872949
13,0.11936165572416027,0.9758258448297684,0.19293793896742112,0.9633992427429533
14,0.11331403746667232,0.9770915074041261,0.1892211024982868,0.9629785443836769
15,0.1063028003781404,0.9797493988102772,0.1903355079987092,0.9646613378207824
16,0.10098277197210355,0.9813947601569422,0.1848022518511023,0.9638199411022297
17,0.09710625470733208,0.9816478926718137,0.18218621913755847,0.9642406394615061
18,0.09205245540920895,0.9839260853056575,0.1818692687182653,0.9655027345393353
19,0.08760138097506899,0.9848120491077079,0.18190562404099764,0.9642406394615061
20,0.08318206628483016,0.985318314137451,0.1825992349170064,0.9655027345393353
