epoch,train_loss,train_character_accuracy,validation_loss,validation_character_accuracy,validation_plate_exact_accuracy_all_rois,validation_roi_segmentation_coverage
1,1.242998571843804,0.7105897933122074,0.2626096124813198,0.9672544080604534,0.8533333333333334,1.0
2,0.2949239805369663,0.94215579624462,0.15406808199550204,0.9756507136859782,0.9033333333333333,1.0
3,0.21146029183470255,0.9614529631556543,0.13442354315874658,0.9777497900923594,0.9133333333333333,1.0
4,0.17663588677591335,0.9699191221680935,0.11946946343737025,0.9802686817800168,0.92,1.0
5,0.15859903975421216,0.972804237809204,0.11129269679487502,0.9815281276238456,0.9266666666666666,1.0
6,0.14728663999289351,0.974317741096344,0.10545731127562391,0.9827875734676742,0.9333333333333333,1.0
7,0.13556035472938094,0.9770136688265619,0.10267280592676174,0.9827875734676742,0.9266666666666666,1.0
8,0.12719783056316822,0.9790001418909332,0.10098152495076133,0.984047019311503,0.94,1.0
9,0.12145521081099545,0.9798514874899494,0.09868090122462721,0.9844668345927792,0.9466666666666667,1.0
10,0.11549083505059994,0.9811285058884738,0.09602541729845387,0.984047019311503,0.9433333333333334,1.0
11,0.1100037617297304,0.9820744454429362,0.0941503870196947,0.9853064651553316,0.9433333333333334,1.0
12,0.1058726206523869,0.9825001182424443,0.09451097481446943,0.984047019311503,0.9433333333333334,1.0
13,0.1015757470494016,0.982783900108783,0.09452601938213649,0.9848866498740554,0.9466666666666667,1.0
14,0.09681765852274991,0.9838244336186918,0.09558368105156696,0.984047019311503,0.9466666666666667,1.0
15,0.0916969305698893,0.984675779217708,0.09525171053024223,0.9836272040302267,0.9466666666666667,1.0
16,0.08985151394273841,0.9854798278390011,0.09313717301806715,0.9844668345927792,0.9466666666666667,1.0
17,0.08418950454986895,0.986236579482571,0.09596919609307242,0.9848866498740554,0.9466666666666667,1.0
18,0.08159528903290329,0.9864257673934635,0.09428847120726039,0.9853064651553316,0.9466666666666667,1.0
19,0.07822102605408517,0.9872298160147567,0.0953388895173217,0.9836272040302267,0.9466666666666667,1.0
20,0.07514148447927765,0.9879392706806035,0.09329175371066749,0.984047019311503,0.9466666666666667,1.0
21,0.07223495331637832,0.9882703495246654,0.093133373947628,0.984047019311503,0.9466666666666667,1.0
22,0.06923391880612102,0.988506834413281,0.09745501778162798,0.9844668345927792,0.9466666666666667,1.0
23,0.06658300874586609,0.9888379132573428,0.0982178288107655,0.9836272040302267,0.9433333333333334,1.0
24,0.06363257799086225,0.9891689921014047,0.09643559550082954,0.9836272040302267,0.9433333333333334,1.0
25,0.0607826347629205,0.9895000709454665,0.09572265367238687,0.9836272040302267,0.9433333333333334,1.0
26,0.05855987544276304,0.9899730407226979,0.09772712861810984,0.9836272040302267,0.9433333333333334,1.0
27,0.05692837712121191,0.989641961878636,0.09600974038856355,0.984047019311503,0.9433333333333334,1.0
28,0.05435663135662814,0.9902095256113135,0.09829164561006225,0.984047019311503,0.9466666666666667,1.0
29,0.05239259893630439,0.9900676346781441,0.10171692187199564,0.984047019311503,0.95,1.0
30,0.05110211164631044,0.9909189802771603,0.09747077392040432,0.9836272040302267,0.94,1.0
31,0.0493257382475585,0.9908716832994372,0.10132026564764636,0.9827875734676742,0.9433333333333334,1.0
32,0.04712407456241639,0.9910608712103297,0.10293563368388528,0.9832073887489504,0.9433333333333334,1.0
33,0.04425878828395485,0.9913446530766684,0.0993848571774341,0.9844668345927792,0.9466666666666667,1.0
34,0.04435418427541295,0.9912500591212221,0.10544951860640452,0.9836272040302267,0.9366666666666666,1.0
35,0.04219004183291236,0.9914865440098378,0.10825193485700213,0.9832073887489504,0.9433333333333334,1.0
36,0.040430247153521594,0.9917230288984534,0.10722484854366678,0.9827875734676742,0.9366666666666666,1.0
37,0.040724286358636654,0.9914392470321146,0.10982761766658322,0.984047019311503,0.94,1.0
38,0.03755131951183819,0.9918176228538996,0.1094134173205077,0.9827875734676742,0.9366666666666666,1.0
39,0.0353636194229477,0.9923378896088539,0.1079908887895589,0.9836272040302267,0.9433333333333334,1.0
40,0.03425839252973276,0.9924797805420233,0.11408182284243461,0.9836272040302267,0.9433333333333334,1.0
